id,user_id,restaurant_id,date,review_comment,score,picture_food
1,26,20,2018-08-04,Voluptates non fuga facilis. Quis totam corporis magni quis neque. Natus magni quia soluta occaecati sequi sit iure. Aliquid ex molestiae laborum aut veniam repudiandae maxime impedit. A occaecati ut fugiat aliquid qui.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_3.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/2.jpeg
2,95,13,2018-09-05,Ullam veniam voluptatem molestiae aut. Iste quasi rerum eum numquam suscipit dolor reiciendis accusantium. Ipsa sit aut placeat sit sequi a. Sequi cupiditate hic quia totam id accusantium eaque adipisci.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_8.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/2.jpeg
3,95,81,2018-09-02,Blanditiis corporis voluptatem. Nulla itaque aut nam tempora quo ut quae. Eveniet dicta alias amet consequuntur et corrupti autem. Voluptatem ullam sapiente commodi. Quia tempore quam esse et expedita.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_4.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/4.jpeg
4,23,76,2018-02-28,Est facere eum. Ut modi consectetur hic id laboriosam. Commodi reprehenderit labore quasi vitae cumque velit.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_4.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/5.jpeg
5,46,71,2018-11-04,A et aperiam consequatur tenetur quibusdam quidem dicta ad. Cupiditate praesentium voluptatem maiores sed vero pariatur rerum ipsam et. Iusto officiis quas quo est omnis eos. Cum et quia odio vel. Voluptas totam est fugit. Quasi sint assumenda eum consequatur quos.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_5.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/7.jpeg
6,3,20,2018-07-23,Quos rerum autem deleniti sed harum voluptas non enim. Eaque aut quam voluptas quam voluptatem dolor non fuga. Dolore in nam itaque voluptatem eius. Sunt eos est. Quis vel repellat quia.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_9.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/4.jpeg
7,95,92,2017-12-14,Vel amet excepturi ea aut doloribus. Aliquid soluta nulla et nesciunt aliquam. Asperiores ab aut. Dolorum nam ut.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_7.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/5.jpeg
8,85,51,2018-09-17,Qui ut excepturi repellat. Rem ipsa fuga harum sit laudantium voluptates nesciunt. Consequuntur aut odio distinctio harum sit.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_9.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/6.jpeg
9,93,15,2018-03-21,Sunt sed saepe neque et nulla. Nihil cumque recusandae earum ut quo provident in omnis. Ex doloribus iste laborum temporibus. Beatae maiores nisi aliquam sit. Laboriosam autem sapiente suscipit sunt quaerat. Minima in nobis.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_3.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/1.jpeg
10,17,86,2018-05-11,Praesentium illum et molestiae corporis et eius et. Rerum laborum assumenda. Harum est pariatur minima vero ratione porro. Molestiae non ut assumenda eligendi ea eveniet minus.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_1.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/7.jpeg
11,48,12,2018-07-12,Sapiente vero quam accusantium totam fugit dolores quibusdam dolor omnis. At vel nemo ipsam voluptatem sed. Fugit quis quo magnam nobis enim. Accusamus tempora earum sit eius velit. Maiores non aut iusto voluptatem omnis sed sed. Dolor esse deserunt accusamus quia.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_8.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/4.jpeg
12,53,85,2018-04-05,Nostrum vel facilis et tempore eius et provident architecto. Aliquam ducimus officiis nostrum nostrum rerum ipsum. Minima ipsa animi molestiae non ullam enim commodi. Vel deserunt dolorum harum enim facere sint. Similique esse minima dolor dolore. Accusamus sapiente optio doloremque fugiat voluptatem ab.,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/regular_5.png,https://s3-us-west-1.amazonaws.com/hrfrontendcapstone/7.jpeg
